"Story","Title","Result","Date","Stability","Duration (s)"
"Consumo typicode","Crear un usuario dados sus datos personales","SUCCESS","2022-03-25T22:09:22.306228-05:00[America/Bogota]","0.0","1.78"
"Consumo typicode","Eliminar un usuario del registro del sitio","SUCCESS","2022-03-25T22:09:24.089971-05:00[America/Bogota]","0.0","0.31"
